"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,25326.9868145904,23535.0976471709,12609.5377212764,48727.5183983102,14445.6777489536,42011.7298667264,25326.9868145904,12609.5377212764,48727.5183983102,14445.6777489536,42011.7298667264,22147,"Quinault Lake Sockeye"
"2",1996,39727.8457018942,39358.4294466724,18034.1205560741,66208.789384466,21041.3065001561,59897.4011889217,39727.8457018942,18034.1205560741,66208.789384466,21041.3065001561,59897.4011889217,45527,"Quinault Lake Sockeye"
"3",1997,30200.4858466505,29421.2719427847,15100.1166845192,51282.8659943154,17221.2069452703,46003.7743538853,30200.4858466505,15100.1166845192,51282.8659943154,17221.2069452703,46003.7743538853,30973,"Quinault Lake Sockeye"
"4",1998,19144.8069645429,18458.9380946004,10153.2431915993,32917.8097896103,11406.6891162078,29258.2023859816,19144.8069645429,10153.2431915993,32917.8097896103,11406.6891162078,29258.2023859816,18801,"Quinault Lake Sockeye"
"5",1999,9848.86876490177,8514.70911268579,5089.7506733397,22176.6359267836,5534.62964215168,18734.209619827,9848.86876490177,5089.7506733397,22176.6359267836,5534.62964215168,18734.209619827,6476,"Quinault Lake Sockeye"
"6",2000,18096.3628111564,17250.5920924048,9627.59873360574,31585.4596943244,10867.5683725749,27931.7841497286,18096.3628111564,9627.59873360574,31585.4596943244,10867.5683725749,27931.7841497286,18364,"Quinault Lake Sockeye"
"7",2001,23951.6167028229,22781.3972122681,12807.2048377671,42139.7526242384,14413.2565077121,37197.8902680985,23951.6167028229,12807.2048377671,42139.7526242384,14413.2565077121,37197.8902680985,21302,"Quinault Lake Sockeye"
"8",2002,45907.9340403086,45690.658424951,20298.988901486,75802.1531841745,23821.6769003945,69095.1387488639,45907.9340403086,20298.988901486,75802.1531841745,23821.6769003945,69095.1387488639,51407,"Quinault Lake Sockeye"
"9",2003,50378.4844416979,50254.5655024462,21287.2024212375,84370.2539546484,25185.9137218552,76597.6472534434,50378.4844416979,21287.2024212375,84370.2539546484,25185.9137218552,76597.6472534434,56612,"Quinault Lake Sockeye"
"10",2004,35012.5196754665,34953.9535249773,15833.2945613421,58254.3968417052,18321.0007561255,52785.1040448207,35012.5196754665,15833.2945613421,58254.3968417052,18321.0007561255,52785.1040448207,39942,"Quinault Lake Sockeye"
"11",2005,12857.3882793569,12133.4081189409,6970.8338779971,22965.6482721504,7735.53403533623,20252.0038424081,12857.3882793569,6970.8338779971,22965.6482721504,7735.53403533623,20252.0038424081,12022,"Quinault Lake Sockeye"
"12",2006,5000.10443448473,4120.26318935153,2449.69751184188,12932.6744197738,2664.91565835948,10394.7165132607,5000.10443448473,2449.69751184188,12932.6744197738,2664.91565835948,10394.7165132607,3100,"Quinault Lake Sockeye"
"13",2007,6437.67145644607,5712.74147301545,3414.18681547735,14008.1650311236,3738.14447352633,11630.9807877172,6437.67145644607,3414.18681547735,14008.1650311236,3738.14447352633,11630.9807877172,5000,"Quinault Lake Sockeye"
"14",2008,14510.8490627628,14103.1174437432,7473.02805051516,24576.4968501893,8482.9059617898,21973.6031872366,14510.8490627628,7473.02805051516,24576.4968501893,8482.9059617898,21973.6031872366,15000,"Quinault Lake Sockeye"
"15",2009,23563.9017728667,23062.9138079,11639.4745285806,39676.4372910117,13368.0203198457,35648.6232085999,23563.9017728667,11639.4745285806,39676.4372910117,13368.0203198457,35648.6232085999,25000,"Quinault Lake Sockeye"
"16",2010,27048.7138965968,26203.7697810572,13708.2298273564,45867.3411630658,15567.6594384397,41100.2559450588,27048.7138965968,13708.2298273564,45867.3411630658,15567.6594384397,41100.2559450588,27000,"Quinault Lake Sockeye"
"17",2011,28202.3557865103,27252.1796351793,14347.0095206786,47887.3517623852,16415.1369147348,42892.3750339714,28202.3557865103,14347.0095206786,47887.3517623852,16415.1369147348,42892.3750339714,29000,"Quinault Lake Sockeye"
"18",2012,24142.8151632569,23065.0491536393,12882.6291407832,42387.1342870669,14517.2151014271,37380.3748366656,24142.8151632569,12882.6291407832,42387.1342870669,14517.2151014271,37380.3748366656,23000,"Quinault Lake Sockeye"
"19",2013,21286.0034584413,19879.3769491169,11565.457414695,39392.572435865,12808.1590529903,34218.164412289,21286.0034584413,11565.457414695,39392.572435865,12808.1590529903,34218.164412289,18000,"Quinault Lake Sockeye"
"20",2014,31262.8210654947,30375.3918852941,14098.4416978031,55524.0826127874,16571.6560518462,48916.5783623709,31262.8210654947,14098.4416978031,55524.0826127874,16571.6560518462,48916.5783623709,32300,"Quinault Lake Sockeye"
